Predictor,β0 (intercept),β1 (slope),p-value (β1),t-statistic,R²,R² adj,F-statistic,Significant (α=0.05)
alcohol,2.208264437903373,0.3429510643481375,4.5494245780589114e-243,35.12630924370642,0.18965333653764804,0.1894996289004207,1233.8576010844927,Yes
density,99.500706510746,-94.2051210689636,2.64117551895095e-115,-23.400899606774935,0.09409614141487854,0.09392430836127741,547.6021024063524,Yes
volatile acidity,6.273820608246432,-1.385789058274372,1.5927955053680792e-78,-19.078805330947922,0.06458494683426774,0.06440751605787065,364.0008128562079,Yes
chlorides,6.088606778500546,-5.077650268131837,2.1656754693660016e-50,-15.087907990235626,0.04139266604774949,0.0412108361285628,227.6449675218167,Yes
citric acid,5.625398073375926,0.5662483335018282,7.542090978381362e-12,6.862564818881689,0.008853911746357745,0.008665909832804353,47.09479589335053,Yes
fixed acidity,6.175653601806861,-0.051566117230489754,1.6804412971792166e-07,-5.238651744340125,0.005178557379273752,0.0049898583195960855,27.443472098479962,Yes
residual sugar,5.858585808436533,-0.010105612838557628,0.00010405875694265688,-3.8838856420473804,0.0028530974845217827,0.0026639573285059948,15.0845676805033,Yes
total sulfur dioxide,5.8993041960479,-0.0008150353777513915,0.0001503626233089551,-3.7932338492832,0.002721824682477725,0.002532659626461542,14.38862303534702,Yes
free sulfur dioxide,5.7264583694161715,0.002588509786375704,0.00015533333502264825,3.7851314147756585,0.0027102408215270435,0.0025210735682685836,14.327219827125285,Yes
sulphates,5.670667837625706,0.25282744780876515,0.0020155850670818213,3.089469611652294,0.0018072027791371514,0.001617864236416966,9.544822481325449,Yes
pH,5.2434031386134325,0.1745048777586372,0.028382108446830086,2.1925674914117628,0.0009110342454299314,0.000721525716265603,4.80735220439489,Yes
